11/05/2022 at 08:44:50 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/T.htm for NASDAQ exchange
11/05/2022 at 08:44:50 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/U.htm for NASDAQ exchange
11/05/2022 at 08:44:51 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/V.htm for NASDAQ exchange
11/05/2022 at 08:44:52 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/W.htm for NASDAQ exchange
11/05/2022 at 08:44:52 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/X.htm for NASDAQ exchange
11/05/2022 at 08:44:52 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/Y.htm for NASDAQ exchange
11/05/2022 at 08:44:53 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/Z.htm for NASDAQ exchange
11/05/2022 at 08:44:53 | INFO | __main__ | Cleaned the symbols and names by removing hyphens and additional letters
11/05/2022 at 08:44:53 | SUCCESS | __main__ | Extracted all the company names, symbols and combined them into a list of tuples:
11/05/2022 at 08:44:53 | INFO | __main__ | Get stock market tickers for AMEX exchange
11/05/2022 at 08:44:53 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/A.htm for AMEX exchange
11/05/2022 at 08:44:54 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/B.htm for AMEX exchange
11/05/2022 at 08:44:54 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/C.htm for AMEX exchange
11/05/2022 at 08:44:55 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/D.htm for AMEX exchange
11/05/2022 at 08:44:55 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/E.htm for AMEX exchange
11/05/2022 at 08:44:56 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/F.htm for AMEX exchange
11/05/2022 at 08:44:56 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/G.htm for AMEX exchange
11/05/2022 at 08:44:57 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/H.htm for AMEX exchange
11/05/2022 at 08:44:57 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/I.htm for AMEX exchange
11/05/2022 at 08:44:58 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/J.htm for AMEX exchange
11/05/2022 at 08:44:58 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/K.htm for AMEX exchange
11/05/2022 at 08:44:58 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/L.htm for AMEX exchange
11/05/2022 at 08:44:59 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/M.htm for AMEX exchange
11/05/2022 at 08:44:59 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/N.htm for AMEX exchange
11/05/2022 at 08:45:00 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/O.htm for AMEX exchange
11/05/2022 at 08:45:00 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/P.htm for AMEX exchange
11/05/2022 at 08:45:01 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/Q.htm for AMEX exchange
11/05/2022 at 08:45:01 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/R.htm for AMEX exchange
11/05/2022 at 08:45:02 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/S.htm for AMEX exchange
11/05/2022 at 08:45:02 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/T.htm for AMEX exchange
11/05/2022 at 08:45:03 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/U.htm for AMEX exchange
11/05/2022 at 08:45:03 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/V.htm for AMEX exchange
11/05/2022 at 08:45:03 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/W.htm for AMEX exchange
11/05/2022 at 08:45:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/X.htm for AMEX exchange
11/05/2022 at 08:45:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/Y.htm for AMEX exchange
11/05/2022 at 08:45:05 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/AMEX/Z.htm for AMEX exchange
11/05/2022 at 08:45:05 | INFO | __main__ | Cleaned the symbols and names by removing hyphens and additional letters
11/05/2022 at 08:45:05 | SUCCESS | __main__ | Extracted all the company names, symbols and combined them into a list of tuples:
11/05/2022 at 08:45:05 | INFO | __main__ | Get stock market tickers for OTCBB exchange
11/05/2022 at 08:45:06 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/A.htm for OTCBB exchange
11/05/2022 at 08:45:07 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/B.htm for OTCBB exchange
11/05/2022 at 08:45:08 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/C.htm for OTCBB exchange
11/05/2022 at 08:45:09 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/D.htm for OTCBB exchange
11/05/2022 at 08:45:09 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/E.htm for OTCBB exchange
11/05/2022 at 08:45:10 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/F.htm for OTCBB exchange
11/05/2022 at 08:45:11 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/G.htm for OTCBB exchange
11/05/2022 at 08:45:12 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/H.htm for OTCBB exchange
11/05/2022 at 08:45:12 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/I.htm for OTCBB exchange
11/05/2022 at 08:45:13 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/J.htm for OTCBB exchange
11/05/2022 at 08:45:14 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/K.htm for OTCBB exchange
11/05/2022 at 08:45:15 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/L.htm for OTCBB exchange
11/05/2022 at 08:45:15 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/M.htm for OTCBB exchange
11/05/2022 at 08:45:16 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/N.htm for OTCBB exchange
11/05/2022 at 08:45:17 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/O.htm for OTCBB exchange
11/05/2022 at 08:45:18 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/P.htm for OTCBB exchange
11/05/2022 at 08:45:18 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/Q.htm for OTCBB exchange
11/05/2022 at 08:45:19 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/R.htm for OTCBB exchange
11/05/2022 at 08:45:20 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/S.htm for OTCBB exchange
11/05/2022 at 08:45:21 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/T.htm for OTCBB exchange
11/05/2022 at 08:45:23 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/U.htm for OTCBB exchange
11/05/2022 at 08:45:24 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/V.htm for OTCBB exchange
11/05/2022 at 08:45:24 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/OTCBB/W.htm for OTCBB exchange
